Gene ID	T_rep 1	T_rep 2	T_rep 3	T_rep 4	C_rep 1	C_rep 2	C_rep 3	C_rep 4	log2
Psma3	100.193	95.3339	95.4392	101.63	107.503	126.525	145.962	123.867	
Btbd1	68.5012	44.8806	38.0189	56.7983	70.1834	78.4461	93.5752	79.594	
Psmc3	63.8124	54.335	35.4817	60.2422	82.9392	82.3269	83.0933	79.6427	
Grsf1	56.8935	44.4042	52.7019	57.2977	70.408	79.6592	96.8862	80.0062	
Cops4	57.0955	50.4883	38.6888	58.2496	73.863	81.2829	84.0355	81.0156	
Tmx2	60.079	66.2697	65.0837	56.9087	84.7041	84.4874	100.656	94.512	
Tmem66	85.3392	80.7959	74.111	78.2705	109.087	103.516	106.627	115.499	
Tppp	107.678	88.5025	85.1247	101.257	114.556	128.727	129.224	127.09	
D10Wsu52e	62.3235	70.9225	54.0939	56.6091	86.9781	91.9291	93.2902	89.8387	
Dnajc8	118.297	108.333	76.9077	100.001	125.689	128.294	139.672	129.218	
Mapk1	69.0401	56.8578	68.0099	75.0003	86.8741	101.984	103.457	96.1902	
Sec11c	66.8098	57.6083	38.0797	42.274	78.6848	76.975	84.5848	84.3864	
Ppp2r5c	77.5379	58.1309	55.7547	67.0893	89.7037	92.0457	101.341	95.7006	
Nsf	187.582	156.206	168.418	190.1	203.133	209.666	195.666	214.256	
Sms	48.8731	51.8487	54.6174	52.4818	69.2737	79.6963	98.3174	82.5938	
Glyr1	49.4409	51.1064	44.6343	55.805	81.8973	82.609	78.1268	81.3951	
Ndufa10	97.0042	84.806	88.5803	98.5539	118.714	126.608	122.345	126.265	
Idh3a	112.532	108.31	98.9988	110.549	129.201	137.108	152.164	137.204	
Sept4	111.372	92.8777	74.115	108.693	130.733	139.003	119.492	129.424	
Rab11a	77.9726	81.4818	87.3769	78.2648	92.1217	117.411	134.536	115.309	
Ccdc92	74.1004	45.1417	31.4708	56.7876	92.3734	82.2147	76.419	90.8986	
Erp29	78.7235	82.159	51.5684	75.6941	110.859	99.1673	104.803	108.206	
Camkv	64.073	66.9773	59.1224	75.6255	107.631	102.645	86.8856	103.56	
Chmp5	86.3164	102.595	73.1718	84.0118	107.052	119.021	145.608	112.143	
Gnai1	61.1428	49.4364	42.6393	63.3557	78.5581	87.2244	104.04	85.267	
Pld3	82.4408	76.5852	61.3911	75.6784	120.987	106.068	95.9234	111.847	
Wdr6	83.784	99.9673	96.3179	111.858	144.075	146.93	101.53	138.671	
Cab39	68.3876	54.8891	39.593	57.9863	80.7379	90.1286	99.6315	90.253	
Sepp1	67.0294	75.3731	60.9993	58.8396	90.0673	89.7618	123.412	100.515	
Mapt	75.8994	58.5705	53.74	74.1711	107.274	104.656	89.7298	103.947	
Smap2	63.9845	50.0983	37.1242	57.6018	91.6661	91.3131	80.8726	88.6956	
Stip1	90.0654	80.7994	65.5165	86.1707	114.935	116.024	119.346	116.431	
Mat2a	39.3821	55.8637	54.049	51.5904	78.5352	86.9147	94.4964	87.3409	
2810407C02Rik	65.5898	48.7983	94.7468	68.5879	84.0397	98.9929	135.789	105.308	
Tomm20	71.2434	66.4717	77.4196	70.821	98.1137	105.049	120.895	108.897	
Pafah1b2	85.3899	78.9911	84.0173	73.7177	101.309	120.748	129.965	118.704	
Mobp	76.0352	63.8782	46.9135	68.0922	106.196	116.276	89.9353	95.0625	
Dnajc5	78.4451	60.8362	65.7433	68.096	106.297	113.758	100.845	105.386	
Ahcyl1	84.2625	72.3905	57.4388	67.9766	103.031	109.06	116.734	107.231	
Mapre2	75.4426	57.8555	59.9009	69.3347	103.022	109.031	99.563	106.599	
Ckmt1	123.259	127.489	111.39	143.664	173.844	164.94	152.346	171.657	
Pafah1b1	100.474	91.5779	92.1861	107.484	120.4	145.925	149.508	133.72	
Pabpn1	68.8794	71.687	29.2776	65.3391	105.113	97.9313	87.974	102.492	
Phyhipl	56.6922	72.2284	75.2335	89.1176	93.7243	113.132	131.603	115.293	
Chn1	75.5183	65.2357	65.3291	66.7829	98.362	103.259	118.786	113.302	
Rhoa	106.269	87.0165	60.0733	86.3804	112.159	134.277	133.815	120.625	
Eif4e	61.9641	55.7365	58.2096	62.2978	83.4345	96.2337	121.815	98.6317	
Dnajb6	144.18	115.823	94.2955	125.549	144.465	162.308	185.557	154.303	
Nap1l4	61.2969	52.2605	54.4411	49.8766	89.5042	101.082	101.753	92.9854	
Ppp2r2c	80.6849	51.7982	46.232	68.3173	106.87	104.131	100.274	105.314	
Psme1	76.9277	77.4811	47.9267	69.2446	114.688	106.514	114.95	105.045	
Stx12	93.2044	78.9938	84.8319	80.803	113.901	123.8	145.333	126.441	
Rnf10	71.139	43.7416	31.0542	55.5961	100.454	94.0401	85.5511	93.8514	
Rab14	99.5958	101.323	95.049	113.432	129.199	149.616	160.85	142.329	
Sfr1	47.9964	52.7074	42.5016	57.3219	82.6381	93.146	107.576	90.2297	
Cops5	45.1275	54.2564	58.3494	46.0889	83.6045	95.1683	106.693	92.0671	
Trmt112	79.6696	45.8308	26.1527	53.9322	100.32	90.9084	89.2231	99.8839	
2700060E02Rik	66.71	58.8597	53.2073	57.0058	85.9924	102.1	125.188	99.2275	
Syn2	90.1968	73.3879	70.689	106.558	129.611	131.851	123.938	134.277	
Rragb	57.2734	47.7504	50.8958	56.1707	88.4124	101.008	109.44	92.5825	
Oxr1	71.0305	68.1621	76.9532	71.5974	96.867	111.281	139.075	122.576	
Pqbp1	72.2497	64.8165	37.7296	65.0044	109.002	99.629	102.785	110.642	
Ranbp1	81.203	78.8807	40.0352	75.8846	113.029	108.797	124.929	113.198	
Eno1	145.615	134.617	106.416	139.718	192.169	196.29	160.186	167.283	
Ube2n	70.6392	70.1357	76.0167	64.4662	102.048	117.395	134.802	117.924	
Ndufa9	63.1653	61.262	58.0989	68.0105	104.87	120.727	108.559	109.359	
Tmem59	51.8095	67.8476	51.4037	48.4767	93.3563	95.77	115.76	108.185	
Tubb4b	169.961	162.407	145.585	192.097	231.78	227.159	189.902	216.817	
Rundc3a	79.8386	59.0745	38.8906	59.4037	124.625	106.604	92.6819	112.228	
Srsf3	78.6981	63.3051	73.9285	64.8628	97.9904	120.332	141.801	120.862	
1110004F10Rik	128.36	103.367	93.4581	95.0856	137.416	153.661	172.929	156.943	
Peg13	80.9401	52.9032	63.0085	68.6363	118.277	116.37	108.435	124.21	
Ppa1	64.9992	57.4612	51.1049	63.2064	101.193	106.783	122.884	108.401	
Fkbp4	65.8003	55.8364	39.6062	53.683	110.37	107.855	96.254	103.56	
Dnajc7	70.0421	55.7884	41.2952	64.6039	106.607	106.613	114.885	107.223	
Idh3g	59.7922	59.9795	49.3019	74.102	110.279	115.111	110.757	111.723	
Timp2	104.451	80.0031	76.8215	105.881	148.967	132.068	138.443	153.213	
Got2	66.655	57.8116	53.686	66.1697	120.465	117.271	98.3371	114.089	
Actr1b	70.828	51.1009	42.6773	60.7158	114.751	112.316	96.6146	107.782	
Pdcd5	68.6699	78.2071	40.8376	59.0013	102.627	105.934	139.422	106.558	
Puf60	63.7953	60.0824	34.7972	54.7554	111.671	107.441	95.6735	106.791	
Snrnp70	59.5283	57.9752	32.0297	55.609	112.019	99.4104	93.2781	109.416	
Rnps1	70.144	53.4231	45.1801	56.0913	113.021	105.67	102.717	114.45	
Glo1	59.0337	63.5221	57.9373	54.4282	101.372	109.067	139.284	99.3856	
Prdx6	64.3659	47.7236	46.8756	52.0066	98.2174	110.478	116.295	102.109	
Arl1	91.7697	99.1383	74.6664	70.7875	126.494	130.191	160.279	137.94	
Atp6v1a	79.0333	91.683	112.389	110.726	141.082	160.115	156.278	157.322	
Ndufs2	111.87	85.92	81.7753	106.863	156.622	155.594	138.579	157.039	
Ddx17	112.84	112.59	91.1352	119.967	155.442	172.09	164.038	166.383	
Srsf5	133.197	133.923	114.563	121.814	161.189	189.282	206.414	169.853	
Ncs1	65.8252	42.5672	36.6446	55.8736	114.215	105.138	97.1478	111.538	
Tmem59l	63.1874	56.7365	49.455	69.4692	128.47	110.991	98.1197	130.101	
Tsnax	80.1608	66.2946	61.18	67.5769	122.418	125.055	132.707	126.151	
Gnai2	116.686	99.4314	70.8753	109	171.499	157.745	145.3	154.967	
Hpcal4	68.9114	53.3847	47.3418	60.0881	117.696	125.402	108.049	115.043	
Arpc2	76.6374	63.8131	41.3774	63.4025	119.166	121.064	123.829	119.267	
Gstm1	68.8817	72.8697	52.099	77.854	133.395	131.453	121.525	128.145	
Prkacb	196.651	204.571	240.588	213.204	247.832	285.111	300.118	267.826	
Sept3	59.2171	32.1137	71.8629	60.5532	114.263	117.228	118.068	121.944	
Ndrg3	106.316	100.557	116.191	118.457	164.936	179.714	171.218	176.482	
Sncg	92.8342	95.9834	60.8919	63.4981	141.132	159.873	130.403	134.182	
Pak1	78.9428	77.3886	82.0858	90.6548	134.604	144.223	154.393	149.088	
Vat1l	71.037	66.0634	69.6249	75.4718	132.373	140.063	130.714	132.406	
Hmgn1	87.169	62.9527	37.4891	61.1289	116.434	120.681	142.17	126.98	
Fez1	109.338	119.136	94.0871	114.725	163.938	188.618	179.444	164.258	
Uqcrc1	134.121	112.783	98.1866	134.008	196.501	188.416	161.045	192.815	
Uqcrc2	55.8245	78.7161	84.0991	67.4735	121.28	147.653	146.705	131.097	
Txnl4a	65.658	54.3011	43.1858	60.584	124.984	118.889	117.644	123.956	
Atp6v1c1	106.685	88.5967	100.999	102.839	144.61	169.107	186	161.52	
Csnk2b	80.6514	47.2258	40.0334	60.7016	133.434	127.297	109.013	124.451	
Arf4	51.0481	56.6613	48.7335	50.2969	101.802	124.656	135.832	110.338	
Ndufv1	64.5975	49.7482	45.7195	58.8634	127.498	122.857	110.74	126.446	
Ddx39b	57.8717	54.7555	42.5037	58.4235	124.374	122.136	115.097	122.459	
Rab5a	63.7239	47.2886	36.1919	54.9758	101.364	117.276	140.523	120.067	
Sparc	86.3165	109.401	74.5243	86.005	161.823	136.244	163.875	171.665	
Nptn	86.3689	72.029	78.5403	96.6896	140.711	139.542	168.728	164.096	
Psmc1	77.5844	86.321	69.3162	85.5752	145.103	145.075	156.778	151.898	
Ube2l3	55.7326	52.4651	46.9459	50.8228	117.352	120.453	130.672	120.427	
Sep15	75.4115	66.9539	54.9963	54.1485	122.723	125.096	151.901	135.689	
Tspyl1	74.9014	49.9755	39.4476	65.0538	125.508	131.096	122.01	135.453	
Gm5766	75.2375	62.543	41.5945	54.8047	126.082	127.35	140.722	125.649	
Mapre3	100.213	79.5367	50.5453	82.3728	159.419	158.529	126.414	155.161	
Ids	77.9737	66.5575	79.8011	92.3986	136.557	145.336	174.798	147.554	
Rnf14	104.455	93.3615	105.85	103.429	160.636	181.521	180.991	173.214	
Pitpna	76.7471	57.3922	51.874	61.9691	128.74	138.267	137.101	139.404	
Suclg1	94.9495	84.2099	65.3255	79.608	154.596	158.631	152.235	154.846	
Mapk8ip1	79.7793	48.6633	34.52	62.6419	151.996	134.165	108.357	129.148	
Cd81	101.241	96.3482	70.9455	87.6487	173.788	160.307	156.695	167.879	
Vdac2	125.376	115.614	122.655	114.404	173.312	200.823	214.043	195.212	
Rraga	65.6425	52.9171	48.6775	64.479	132.858	141.581	137.16	134.243	
Reep5	89.5518	70.3565	65.4529	86.3507	144.854	146.242	170.513	167.2	
Cycs	71.801	47.2011	53.0899	56.3785	115.046	132.534	162.435	137.555	
Rab1	76.1459	71.7881	80.6391	72.6315	135.779	159.44	171.348	156.121	
Tspan3	91.9838	65.3903	63.3469	65.1937	149.277	131.762	164.884	161.624	
Vdac3	107.427	120.353	114.281	108.201	166.662	199.274	217.732	190.403	
Hnrnpk	153.039	182.933	157.984	176.409	228.557	264.207	254.017	248.288	
Prkaca	119.099	85.8254	71.0283	106.153	193.956	180.198	156.424	179.176	
Vat1	78.6093	55.7041	43.517	64.7428	162.158	152.6	115.372	140.443	
Polr1d	67.1802	49.6742	41.6614	49.7493	136.631	134.91	130.936	135.916	
Aamp	70.2868	56.2234	47.3283	54.178	150.302	144.109	126.737	137.337	
Scg5	89.0585	78.6554	75.7067	63.3841	152.58	135.557	182.798	166.379	
Gpi1	153.439	146.028	130.338	165.242	241.714	243.638	208.745	231.745	
Rab6b	128.042	89.6894	92.4949	108.445	182.703	190.42	180.25	198.645	
Fbxo9	72.3347	45.6673	44.2649	58.6348	133.446	131.619	149.624	143.585	
Pja1	82.9907	75.8758	75.741	96.0338	163.671	174.986	164.662	168.398	
Gng2	95.1059	83.4681	82.0476	96.048	159.805	169.751	198.171	170.697	
Psma6	73.5105	96.9579	102.222	82.6234	157.491	179.875	194.98	167.974	
D8Ertd738e	89.7602	90.1075	48.8479	66.9576	169.579	151.308	162.141	160.273	
Rrp1	104.505	108.306	79.3661	95.2333	195.155	182.948	173.051	188.765	
Map2k1	65.912	54.3703	45.0929	59.4909	146.165	151.657	139.459	141.854	
Arpc3	72.7116	56.6514	36.6013	66.3359	145.064	139.878	152.695	151.834	
Itm2b	165.849	171.972	137.439	126.135	220.465	226.915	271.907	239.396	
Snap47	162.678	174.032	175.425	203.669	272.166	274.189	256.098	275.953	
Vps29	70.0243	48.2832	55.5124	52.9706	131.262	147.979	170.509	144.329	
Ncald	92.9974	82.6084	82.2992	97.9353	176.296	177.49	182.464	190.513	
Grina	67.6355	49.5758	44.5049	65.2036	169.831	148.688	121.949	162.077	
Arl2bp	82.7691	72.1573	58.6584	70.9038	164.454	165.894	168.2	170.358	
Mtap4	108.71	98.5024	102.175	102.631	178.363	191.57	220.187	207.478	
Chmp2a	75.5138	72.1912	57.5798	70.6164	161.948	154.857	184.312	160.949	
Eif4a1	71.6888	80.6081	53.8106	70.4726	160.166	175.342	168.713	160.099	
Thy1	100.318	74.3891	61.5057	83.6904	195.154	170.462	154.998	188.569	
Pink1	95.2887	64.7057	47.3457	79.1547	187.747	166.171	147.469	175.616	
Arl8a	72.9132	51.0523	42.3674	55.8729	167.798	161.452	141.353	147.578	
Idh3b	136.438	113.115	91.0429	117.617	210.618	219.326	215.882	213.425	
Plekhb2	79.7357	68.2566	65.3152	73.9013	173.587	172.52	169.192	178.766	
Selk	92.1378	73.7574	67.1343	73.4008	165.114	176.382	196.453	177.672	
Dstn	103.347	94.6685	77.7588	92.4248	171.647	198.803	216.581	190.924	
Apbb1	66.3899	50.9284	39.7378	58.8633	176.413	160.697	128.497	162.615	
Tuba4a	72.5824	72.5722	71.6295	97.3155	184.382	193.828	164.6	184.499	
Stmn4	66.6166	57.0714	45.1788	56.3031	167.93	169.255	149.367	159.141	
Ldha	58.0592	66.2691	66.0187	67.8032	173.562	186.4	158.695	164.336	
Necap1	95.813	77.3048	75.2389	79.4982	177.859	193.733	189.532	192.216	
Atp6v0d1	74.2988	59.1453	60.5823	70.6948	171.271	181.405	165.037	177.773	
Ube2d2	71.0181	42.6055	30.02	57.4608	142.59	159.341	171.583	158.942	
Tspyl4	170.398	148.589	142.577	166.826	261.507	288.612	238.896	271.081	
Cisd1	75.029	49.4151	40.1914	64.7576	160.579	161.739	177.687	163.68	
Gstm5	83.0198	93.5439	90.8129	86.7861	186.948	195.07	225.907	182.144	
Rbm3	78.2717	92.8684	63.5535	70.5187	171.083	194.702	199.479	177.072	
Isca1	94.3903	55.3936	61.8945	73.9031	174.953	180.629	187.123	183.317	
Dctn2	66.3564	56.086	37.8686	50.9253	173.891	168.012	145.261	168.898	
Car2	79.8092	48.7539	35.3113	57.7861	169.061	181.065	166.918	158.92	
Sept5	106.899	82.5085	59.8364	106.127	220.35	195.842	181.901	212.076	
Psma7	102.259	78.8655	61.8254	90.3485	197.032	195.333	205.13	191.928	
Bend6	104.662	63.4498	72.4243	90.8026	183.651	178.508	226.38	201.118	
Psma2	96.9722	83.6795	80.8302	80.2448	187.619	203.118	213.061	196.302	
Ube2v1	62.7599	44.5472	38.4063	55.1116	177.754	164.585	150.93	168.124	
Otub1	111.678	80.0021	67.7246	100.665	214.605	210.621	185.976	216.907	
Got1	103.043	77.3685	74.504	113.523	214.297	213.416	183.442	227.326	
Lamtor2	83.4479	43.7281	35.6562	47.7816	174.68	160.883	178.773	167.457	
Ociad1	110.095	94.9375	97.2181	96.9579	203.407	220.217	228.758	219.562	
Snrpd3	74.4965	60.3697	53.6144	55.7419	172.652	174.19	193.237	178.236	
Uqcrfs1	64.9743	39.9846	41.6978	55.9266	164.62	175.341	176.08	170.39	
Psap	127.071	131.57	124.887	126.808	258.153	231.799	230.104	274.377	
Ran	100.593	88.565	86.7327	89.0402	188.267	215.649	236.673	210.18	
Plekhb1	74.8378	58.0965	40.5706	52.559	180.164	178.334	181.779	176.232	
Capzb	69.8149	53.3119	44.5141	56.6795	181.282	187.958	173.85	171.956	
Ghitm	95.3357	78.58	90.5224	93.4293	186.841	223.339	234.237	212.632	
Zcchc12	97.4233	115.321	110.293	106.862	231.651	246.704	219.965	242.389	
Eif3h	121.746	84.5472	70.7391	102.412	219.118	213.983	243.991	216.054	
Arl3	106.084	76.1363	53.0359	68.7055	196.275	191.639	231.913	200.529	
Hmgn2	64.2363	69.3755	53.8414	56.4664	178.197	183.363	225.257	176.932	
2310003F16Rik	96.4606	95.5446	64.5064	69.1828	200.723	207.223	235.138	207.309	
Prnp	83.0536	80.6969	73.8459	77.3568	214.8	198.393	212.587	216.877	
Cops6	77.9749	52.0412	45.8367	55.7076	182.903	193.629	194.039	190.705	
Prdx1	56.9577	78.0994	62.6692	57.9159	174.46	211.883	217.456	190.954	
Rac1	122.472	96.2566	85.0979	111.934	228.37	245.913	247.044	244.248	
Mff	65.6474	54.6907	52.2207	65.8141	179.383	195.349	211.731	204.404	
Nsg1	82.1703	69.5647	64.1787	58.1196	196.612	202.425	218.533	222.343	
2900011O08Rik	92.3008	62.8533	63.5437	75.7438	208.742	206.603	222.972	222.542	
Eif4h	76.6233	55.4444	48.9807	55.636	212.203	214.974	168.577	207.919	
Psmb6	82.7705	64.7627	42.4752	62.8063	211.86	210.1	194.499	205.013	
H3f3a	102.103	69.5595	61.105	78.1169	209.91	233.026	243.974	194.772	
Snca	73.3737	45.357	40.8326	51.8844	187.956	198.489	202.208	196.377	
1810035L17Rik	59.2502	52.2437	53.2756	50.3233	181.57	198.75	227.577	190.66	
Serp2	79.0149	64.817	34.2203	50.8699	210.869	191.882	202.434	211.829	
Slc25a5	76.7651	58.0559	59.308	69.4812	211.952	231.345	211.87	206.873	
Tecr	115.784	107.342	103.798	114.607	284.493	259.175	237.329	282.954	
Psmc5	91.8299	67.8274	51.6313	63.5139	225.168	219.355	240.029	214.269	
1500011B03Rik	68.7949	48.3628	36.9409	53.0164	218.418	207.675	196.375	208.864	
A730017C20Rik	68.4815	75.9426	75.1731	63.8925	211.948	240.023	240.643	215.105	
Nhp2l1	96.3768	77.3082	68.276	84.224	222.701	231.864	265.408	233.546	
Eif3k	70.8194	63.254	43.6237	69.4548	228.861	209.019	229.239	219.335	
Ensa	97.2811	75.6333	77.2961	85.1743	249.473	240.104	257.83	243.624	
Mdh2	183.896	144.109	137.17	171.637	346.665	333.669	296.221	317.166	
Sdhb	81.7998	57.1447	39.8922	56.5966	224.766	226.445	231.874	220.743	
Vps28	69.0317	56.6347	40.0916	58.3318	230.345	216.926	217.752	228.891	
Eif1b	89.2204	72.1552	45.9669	61.7082	233.938	224.125	271.173	238.627	
Atp6v1b2	168.377	159.358	172.432	179.499	332.35	362.617	348.411	346.285	
Ndrg2	79.2378	48.5909	59.2256	56.2352	249.38	234.271	247.977	230.363	
Capns1	75.1553	67.5815	39.1712	64.8225	253.874	247.727	228.975	243.921	
Vdac1	160.46	132.363	143.041	154.812	317.131	333.147	329.067	341.368	
Ap2m1	193.276	189.981	164.414	201.462	380.043	385.529	346.18	371.692	
Nsg2	146.519	124.893	118.774	113.476	318.291	304.27	304.702	337.135	
Nrsn2	82.7395	73.3325	56.9223	89.1184	287.577	265.57	254.845	292.203	
Ndufs6	94.3837	51.0407	44.537	57.4795	268.706	251.367	264.693	268.85	
Tsc22d1	134.327	92.1723	86.55	111.435	309.952	326.053	312.883	314.087	
Gnb2l1	84.2714	71.8966	60.8082	65.3926	294.424	295.157	280.246	267.9	
Rnasek	101.862	57.6089	54.9371	74.0458	306.235	271.683	291.953	275.295	
Arf1	165.706	126.099	115.626	120.229	350.051	350.832	335.698	347.835	
Ndufa8	77.5401	70.7158	41.9137	58.3812	281.779	277.169	282.022	266.334	
Oaz2	74.4548	51.2675	39.5951	48.0187	277.918	277.508	241.777	277.315	
Arf3	67.6513	37.6484	87.6739	70.2753	291.834	299.269	255.684	286.921	
